time,t1,t2
2020-04-02 15:54:38,24.9,24.8
2020-04-02 15:54:59,24.9,24.8
2020-04-02 15:55:21,24.9,24.8
2020-04-02 15:55:43,24.9,24.8
2020-04-02 15:56:05,24.9,24.8
2020-04-02 15:56:27,24.9,24.8
2020-04-02 15:56:49,24.9,24.8
2020-04-02 15:57:10,24.9,24.8
2020-04-02 15:57:32,24.9,24.9
2020-04-02 15:57:54,24.9,24.9
2020-04-02 15:58:16,25.0,24.9
2020-04-02 15:58:38,25.0,24.9
2020-04-02 15:59:00,25.1,24.9
2020-04-02 15:59:21,25.1,24.9
2020-04-02 15:59:43,25.1,24.9
2020-04-02 16:00:05,25.1,24.9
2020-04-02 16:00:27,25.1,24.9
2020-04-02 16:00:49,25.1,24.9
2020-04-02 16:01:11,25.1,24.9
2020-04-02 16:01:32,25.1,24.9
2020-04-02 16:01:54,25.1,24.9
2020-04-02 16:02:16,25.1,24.9
2020-04-02 16:02:38,25.0,24.9
2020-04-02 16:03:00,25.0,24.9
2020-04-02 16:03:21,25.0,24.9
2020-04-02 16:03:43,25.0,24.9
2020-04-02 16:04:05,25.1,24.9
2020-04-02 16:04:27,24.9,24.8
2020-04-02 16:04:49,25.0,24.9
2020-04-02 16:05:10,25.0,24.9
2020-04-02 16:05:32,25.0,24.9
2020-04-02 16:05:54,25.1,24.9
2020-04-02 16:06:16,25.1,24.9
2020-04-02 16:06:38,25.0,24.9
2020-04-02 16:06:59,25.0,24.9
2020-04-02 16:07:21,25.0,24.9
2020-04-02 16:07:43,25.0,24.9
2020-04-02 16:08:05,25.1,24.9
2020-04-02 16:08:27,25.0,24.9
2020-04-02 16:08:49,25.0,24.9
2020-04-02 16:09:11,25.0,24.9
2020-04-02 16:09:32,25.1,25.0
2020-04-02 16:09:54,25.1,24.9
2020-04-02 16:10:16,25.1,24.9
2020-04-02 16:10:38,25.0,24.9
2020-04-02 16:11:00,25.0,24.9
2020-04-02 16:11:21,25.0,24.9
2020-04-02 16:11:43,25.1,24.9
2020-04-02 16:12:05,25.1,24.9
2020-04-02 16:12:27,25.0,24.9
2020-04-02 16:12:49,25.1,24.9
2020-04-02 16:13:11,25.0,24.9
2020-04-02 16:13:32,24.9,24.8
2020-04-02 16:13:54,24.9,24.8
2020-04-02 16:14:16,25.0,24.9
2020-04-02 16:14:38,24.9,24.9
2020-04-02 16:15:00,25.0,24.9
2020-04-02 16:15:22,25.0,24.9
2020-04-02 16:15:44,25.1,24.9
2020-04-02 16:16:05,25.0,24.9
2020-04-02 16:16:27,25.0,24.9
2020-04-02 16:16:49,25.0,24.9
